%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1622095923777120370,10,1622095923776636743,foot_imu_link,0.8696834445,0.285430878401,-0.312355160713,-0.254193246365,4.87279156815e-05,0.0,0.0,0.0,3.54319043255e-05,0.0,0.0,0.0,4.12861326855e-05,-0.490147680044,0.929655194283,-0.744201242924,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.90983748436,1.44052815437,-0.900480091572,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923782963758,11,1622095923782611426,foot_imu_link,0.870224833488,0.286696046591,-0.309216022491,-0.254753917456,4.87611767495e-05,0.0,0.0,0.0,3.54645070803e-05,0.0,0.0,0.0,4.13225390274e-05,-0.376483500004,1.09512627125,-0.767451226711,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.35852921009,1.31974458694,-1.08898997307,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923783306021,12,1622095923783080364,foot_imu_link,0.870694577694,0.288081973791,-0.305919289589,-0.255564242601,4.87944865815e-05,0.0,0.0,0.0,3.54971464082e-05,0.0,0.0,0.0,4.13590144515e-05,-0.315369069576,1.15754640102,-0.865020871162,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.32124388218,1.20798754692,-0.576897501945,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923791678217,13,1622095923791462006,foot_imu_link,0.871136307716,0.28964343667,-0.302350074053,-0.256539672613,4.88278045407e-05,0.0,0.0,0.0,3.55297776086e-05,0.0,0.0,0.0,4.13955345759e-05,-0.30758947134,1.24938440323,-0.976830244064,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.28538954258,0.981574177742,-0.329683661461,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923800439841,14,1622095923800241195,foot_imu_link,0.871577084064,0.291454195976,-0.29847201705,-0.257531285286,4.88611550093e-05,0.0,0.0,0.0,3.55624128728e-05,0.0,0.0,0.0,4.14321034642e-05,-0.368043005466,1.33371460438,-1.09771883488,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.536084353924,1.17459893227,-0.293297737837,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923800611997,15,1622095923800494133,foot_imu_link,0.871993720531,0.293532341719,-0.29425278306,-0.258613824844,4.88945095415e-05,0.0,0.0,0.0,3.5595035946e-05,0.0,0.0,0.0,4.14687129891e-05,-0.405563086271,1.43311464787,-1.24009084702,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.286795675755,0.983745038509,-0.106583245099,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923807463504,16,1622095923807268994,foot_imu_link,0.872371196747,0.296003699303,-0.289579838514,-0.259795606136,4.89278518827e-05,0.0,0.0,0.0,3.56276468281e-05,0.0,0.0,0.0,4.15053672143e-05,-0.466333210468,1.55743694305,-1.44020092487,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.905222356319,0.926667809486,-0.076806165278,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923807632760,17,1622095923807515781,foot_imu_link,0.872502267361,0.299709349871,-0.283865094185,-0.26140922308,4.89612714335e-05,0.0,0.0,0.0,3.56602820923e-05,0.0,0.0,0.0,4.15420823945e-05,-0.55595099926,1.81467974186,-2.05732440948,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,2.18037009239,0.534876048565,-0.0975931286812,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923816471096,18,1622095923816258768,foot_imu_link,0.872502267361,0.303758203983,-0.276755422354,-0.264343053102,4.89946666023e-05,0.0,0.0,0.0,3.56928929745e-05,0.0,0.0,0.0,4.15788625932e-05,-0.288714915514,2.411257267,-2.49086689949,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,1.73122024536,2.53175830841,-0.869771122932,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923825128466,19,1622095923824944389,foot_imu_link,0.872083246708,0.308292537928,-0.270819664001,-0.266614586115,4.90280983441e-05,0.0,0.0,0.0,3.57254916657e-05,0.0,0.0,0.0,4.16156874922e-05,-0.385598361492,1.82043552399,-2.51358151436,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.391057640314,2.05851888657,3.04961919785,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923825417250,20,1622095923825283196,foot_imu_link,0.871856987476,0.313277959824,-0.264829993248,-0.267558455467,4.90615138312e-05,0.0,0.0,0.0,3.57580741022e-05,0.0,0.0,0.0,4.16525896007e-05,-0.92548507452,1.64935982227,-2.5058760643,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-1.38060390949,1.13424742222,-0.561207056046,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923832315372,21,1622095923832107946,foot_imu_link,0.871816456318,0.318396538496,-0.258065730333,-0.268256992102,4.90949862096e-05,0.0,0.0,0.0,3.57906484115e-05,0.0,0.0,0.0,4.16895770462e-05,-1.14262878895,1.89528596401,-2.58893799782,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-1.64195156097,0.259909212589,-1.31919252872,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923832490690,22,1622095923832392388,foot_imu_link,0.871799767017,0.323606193066,-0.250802606344,-0.268965154886,4.9128422015e-05,0.0,0.0,0.0,3.58231942751e-05,0.0,0.0,0.0,4.17266173192e-05,-1.21320343018,2.06127214432,-2.67058491707,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-1.27627170086,1.37930941582,0.827466785908,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923841196375,23,1622095923841012843,foot_imu_link,0.871744155884,0.329310655594,-0.242972448468,-0.269408792257,4.91618862661e-05,0.0,0.0,0.0,3.5855748266e-05,0.0,0.0,0.0,4.17637429291e-05,-1.42594957352,2.17009305954,-2.88509011269,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-1.36711764336,1.64649999142,1.43147397041,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923849822004,24,1622095923849656361,foot_imu_link,0.871725738049,0.335775196552,-0.234283074737,-0.26918554306,4.91953220715e-05,0.0,0.0,0.0,3.5888241302e-05,0.0,0.0,0.0,4.18009376213e-05,-1.84854829311,2.30133938789,-3.17096328735,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-1.82829523087,1.51999056339,1.55492913723,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923849993708,25,1622095923849904587,foot_imu_link,0.871734797955,0.342826336622,-0.224516838789,-0.26859036088,4.92287903862e-05,0.0,0.0,0.0,3.59207505927e-05,0.0,0.0,0.0,4.18382582869e-05,-2.18120551109,2.56761860847,-3.45285844803,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-2.50064373016,1.81873512268,0.567315101624,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923856966948,26,1622095923856833947,foot_imu_link,0.871672809124,0.350242435932,-0.213781565428,-0.267981857061,4.92622302553e-05,0.0,0.0,0.0,3.59531989284e-05,0.0,0.0,0.0,4.18756642895e-05,-2.34424901009,2.85816454887,-3.69409894943,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-2.85714626312,2.4009282589,0.736089944839,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923857171791,27,1622095923857079055,foot_imu_link,0.871527314186,0.357815176249,-0.202295005322,-0.267367035151,4.92956376151e-05,0.0,0.0,0.0,3.59856310095e-05,0.0,0.0,0.0,4.19131962656e-05,-2.45522880554,3.09417200089,-3.83875989914,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-2.98754167557,3.41012215614,1.4298119545,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923865845601,28,1622095923865712784,foot_imu_link,0.871271252632,0.365486860275,-0.19015994668,-0.266730189323,4.93290734206e-05,0.0,0.0,0.0,3.60180549632e-05,0.0,0.0,0.0,4.19508785971e-05,-2.55127596855,3.29693126678,-3.95585823059,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-2.98979520798,3.89503741264,2.1137304306,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923872834083,29,1622095923872706617,foot_imu_link,0.870834350586,0.373178958893,-0.177437826991,-0.26627227664,4.9362484844e-05,0.0,0.0,0.0,3.6050442344e-05,0.0,0.0,0.0,4.19886787748e-05,-2.55916810036,3.5145111084,-4.06880140305,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.30273962021,4.32407999039,2.47261595726,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923873034474,30,1622095923872947695,foot_imu_link,0.870195150375,0.380836635828,-0.164226576686,-0.265995502472,4.93958556309e-05,0.0,0.0,0.0,3.60827809609e-05,0.0,0.0,0.0,4.2026568353e-05,-2.54324960709,3.69903516769,-4.14978837967,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-3.7465596199,4.96213150024,3.22655725479,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923881655535,31,1622095923881532578,foot_imu_link,0.869319558144,0.388364702463,-0.150858134031,-0.265891432762,4.94292142268e-05,0.0,0.0,0.0,3.61151114505e-05,0.0,0.0,0.0,4.20645960958e-05,-2.47476649284,3.77985405922,-4.17016410828,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.30519151688,5.50687551498,3.77864956856,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1622095923890373881,32,1622095923890249632,foot_imu_link,0.868196725845,0.395670711994,-0.137330114841,-0.266119688749,4.94625118677e-05,0.0,0.0,0.0,3.61473891124e-05,0.0,0.0,0.0,4.21027091754e-05,-2.34412336349,3.89556360245,-4.16862297058,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-4.23041725159,6.28215551376,3.87548589706,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
